"Alert Id","Alert State","Alert Title","Alert Type","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Location Paths","Logical Paths"
"61","active","Query built from user-controlled sources (java/sql-injection)","code","java/sql-injection","java/sql-injection","Building a SQL or Java Persistence query from user-controlled sources is vulnerable to insertion of malicious code by the user.","security,external/cwe/cwe-089,external/cwe/cwe-564","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","74","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/61","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/sqlinjection/advanced/SqlInjectionLesson6a.java:74 @ 37bc01a2",""
"62","active","Server-side request forgery (java/ssrf)","code","java/ssrf","java/ssrf","Making web requests based on unvalidated user-input may cause the server to communicate with malicious servers.","security,external/cwe/cwe-918","critical","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"7","97","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/62","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/ssrf/SSRFTask2.java:51 @ 37bc01a2",""
"63","active","Information exposure through a stack trace (java/stack-trace-exposure)","code","java/stack-trace-exposure","java/stack-trace-exposure","Information from a stack trace propagates to an external user. Stack traces can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","security,external/cwe/cwe-209,external/cwe/cwe-497","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/63","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/container/AjaxAuthenticationEntryPoint.java:54 @ 37bc01a2",""
"64","active","Deserialization of user-controlled data (java/unsafe-deserialization)","code","java/unsafe-deserialization","java/unsafe-deserialization","Deserializing user-controlled data may allow attackers to execute arbitrary code.","security,external/cwe/cwe-502","critical","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"7","97","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/64","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/vulnerablecomponents/VulnerableComponentsLesson.java:57 @ 37bc01a2",""
"65","active","Deserialization of user-controlled data (java/unsafe-deserialization)","code","java/unsafe-deserialization","java/unsafe-deserialization","Deserializing user-controlled data may allow attackers to execute arbitrary code.","security,external/cwe/cwe-502","critical","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"7","97","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/65","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/deserialization/InsecureDeserializationTask.java:60 @ 37bc01a2",""
"66","active","Use of a broken or risky cryptographic algorithm (java/weak-cryptographic-algorithm)","code","java/weak-cryptographic-algorithm","java/weak-cryptographic-algorithm","Using broken or weak cryptographic algorithms can allow an attacker to compromise security.","security,external/cwe/cwe-327,external/cwe/cwe-328","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","74","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/66","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/cryptography/HashingAssignment.java:55 @ 37bc01a2",""
"67","active","Resolving XML external entity in user-controlled data (java/xxe)","code","java/xxe","java/xxe","Parsing user-controlled XML documents and allowing expansion of external entity references may lead to disclosure of confidential data or denial of service.","security,external/cwe/cwe-611,external/cwe/cwe-776,external/cwe/cwe-827","critical","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"7","97","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/67","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/xxe/CommentsCache.java:105 @ 37bc01a2",""
"68","active","Arbitrary file access during archive extraction (""Zip Slip"") (java/zipslip)","code","java/zipslip","java/zipslip","Extracting files from a malicious ZIP file, or similar type of archive, without validating that the destination file path is within the destination directory can allow an attacker to unexpectedly gain access to resources.","security,external/cwe/cwe-022","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","74","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/68","octodemo-temporary","demo-felickz","WebGoat","src/main/java/org/owasp/webgoat/lessons/pathtraversal/ProfileZipSlip.java:73 @ 37bc01a2",""
"69","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/69","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/jquery_form/jquery.form.js:565 @ 37bc01a2",""
"70","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/70","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/jquery_form/jquery.form.js:386 @ 37bc01a2",""
"71","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/71","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery.form.js:565 @ 37bc01a2",""
"72","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/72","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery.form.js:386 @ 37bc01a2",""
"73","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/73","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/jquery_form/jquery.form.js:565 @ 37bc01a2",""
"74","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/74","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/jquery_form/jquery.form.js:386 @ 37bc01a2",""
"75","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/75","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery.form.js:565 @ 37bc01a2",""
"76","active","Unsafe HTML constructed from library input (js/html-constructed-from-input)","code","js/html-constructed-from-input","js/html-constructed-from-input","Using externally controlled strings to construct HTML might allow a malicious user to perform a cross-site scripting attack.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/76","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery.form.js:386 @ 37bc01a2",""
"77","active","Incomplete string escaping or encoding (js/incomplete-sanitization)","code","js/incomplete-sanitization","js/incomplete-sanitization","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","correctness,security,external/cwe/cwe-020,external/cwe/cwe-080,external/cwe/cwe-116","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","74","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/77","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery-ui-1.10.4.js:14072 @ 37bc01a2",""
"78","dismissed","Incomplete string escaping or encoding (js/incomplete-sanitization)","code","js/incomplete-sanitization","js/incomplete-sanitization","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","correctness,security,external/cwe/cwe-020,external/cwe/cwe-080,external/cwe/cwe-116","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","2023-09-06T21:26:07Z","acceptedRisk","30","0","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/78","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery-ui-1.10.4.js:7227 @ 37bc01a2",""
"79","active","Incomplete string escaping or encoding (js/incomplete-sanitization)","code","js/incomplete-sanitization","js/incomplete-sanitization","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","correctness,security,external/cwe/cwe-020,external/cwe/cwe-080,external/cwe/cwe-116","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"30","74","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/79","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery-ui-1.10.4.js:14072 @ 37bc01a2",""
"80","dismissed","Incomplete string escaping or encoding (js/incomplete-sanitization)","code","js/incomplete-sanitization","js/incomplete-sanitization","A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.","correctness,security,external/cwe/cwe-020,external/cwe/cwe-080,external/cwe/cwe-116","high","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","2023-09-06T21:10:09Z","falsePositive","30","0","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/80","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery-ui-1.10.4.js:7227 @ 37bc01a2",""
"81","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/81","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/jquery_form/jquery.form.js:193 @ 37bc01a2",""
"82","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/82","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/jquery_form/jquery.form.js:376 @ 37bc01a2",""
"83","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/83","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery.form.js:193 @ 37bc01a2",""
"84","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/84","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/libs/jquery.form.js:376 @ 37bc01a2",""
"85","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/85","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/jquery_form/jquery.form.js:193 @ 37bc01a2",""
"86","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/86","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/webgoat/static/js/jquery_form/jquery.form.js:376 @ 37bc01a2",""
"87","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/87","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery.form.js:193 @ 37bc01a2",""
"88","active","Unsafe jQuery plugin (js/unsafe-jquery-plugin)","code","js/unsafe-jquery-plugin","js/unsafe-jquery-plugin","A jQuery plugin that unintentionally constructs HTML from some of its options may be unsafe to use for clients.","security,external/cwe/cwe-079,external/cwe/cwe-116,frameworks/jquery","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/88","octodemo-temporary","demo-felickz","WebGoat","target/classes/webgoat/static/js/libs/jquery.form.js:376 @ 37bc01a2",""
"89","active","DOM text reinterpreted as HTML (js/xss-through-dom)","code","js/xss-through-dom","js/xss-through-dom","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/89","octodemo-temporary","demo-felickz","WebGoat","src/main/resources/lessons/htmltampering/html/HtmlTampering.html:20 @ 37bc01a2",""
"90","active","DOM text reinterpreted as HTML (js/xss-through-dom)","code","js/xss-through-dom","js/xss-through-dom","Reinterpreting text from the DOM as HTML can lead to a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2023-09-05T16:18:06Z","2023-09-05T16:18:06Z","","",,"90","14","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/35db0ddb-6fcc-491d-bbb0-03051b9eed03/alerts/90","octodemo-temporary","demo-felickz","WebGoat","target/classes/lessons/htmltampering/html/HtmlTampering.html:20 @ 37bc01a2",""
"96","active","Stripe live API secret key","secret","SEC101/016","StripeLiveApiKey","Review evidence of possible plaintext (or base64-encoded plaintext) secrets in versioned engineering content.","","high","2023-06-12T21:53:06Z","2023-06-12T21:53:06Z","","",,"30","56","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/b13016d0-30fa-4a78-ae03-6abd0901941e/alerts/96","octodemo-temporary","demo-felickz","demo-felickz","secrets.yml:1 @ 8e0d2d55",""
"107","active","NuGet Client Remote Code Execution Vulnerability (GHSA-6qmf-mmc7-6c2p)","dependency","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'PublicApi.csproj' contains a reference to an insecure NuGet package 'nuget.common 6.3.1'.  Recommendation: Upgrade NuGet.Common from 6.3.1 to 6.3.3 to fix the vulnerability.","","high","2023-08-22T17:39:23Z","2023-08-22T17:39:23Z","","",,"30","17","https://dev.azure.com/octodemo-temporary/f6827034-7534-40f5-8f47-eca78ec0dec8/_git/cbd98ac6-4ffc-4b61-9b6c-4789b2dd2d92/alerts/107","octodemo-temporary","demo-felickz","eShopOnWeb","s/src/PublicApi/PublicApi.csproj @ 43fee798","NuGet microsoft.visualstudio.web.codegeneration.design 7.0.6(root),NuGet nuget.common 6.3.1"
