"Alert Id","Alert State","Alert Title","Alert Type","Tool","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","Dismissal Message","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Ref","Ecosystem","Dependency Type","Location Paths","Logical Paths"
"11","active","NuGet Client Remote Code Execution Vulnerability (CVE-2023-29337)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'WebGoat.NET.csproj' contains a reference to an insecure NuGet package 'nuget.protocol 5.11.0'.  Recommendation: Upgrade NuGet.Protocol from 5.11.0 to 5.11.5 to fix the vulnerability.","","high","2024-08-15T02:51:15Z","2024-08-15T02:51:15Z","","",,,"30","377","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/11?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master","NuGet","Transitive","WebGoat.NET/WebGoat.NET.csproj @ 099b1c25","microsoft.visualstudio.web.codegeneration.design 6.0.8(root),nuget.protocol 5.11.0"
"12","active","NuGet Client Remote Code Execution Vulnerability (CVE-2023-29337)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-6qmf-mmc7-6c2p","GHSA-6qmf-mmc7-6c2p","'WebGoat.NET.csproj' contains a reference to an insecure NuGet package 'nuget.common 6.2.1'.  Recommendation: Upgrade NuGet.Common from 6.2.1 to 6.2.4 to fix the vulnerability.","","high","2024-08-15T02:51:15Z","2024-08-15T02:51:15Z","","",,,"30","377","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/12?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master","NuGet","Transitive","WebGoat.NET/WebGoat.NET.csproj @ 099b1c25","microsoft.visualstudio.web.codegeneration.design 6.0.8(root),nuget.common 6.2.1"
"13","active",".NET Information Disclosure Vulnerability (CVE-2022-41064)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-8g2p-5pqh-5jmc","GHSA-8g2p-5pqh-5jmc","'WebGoat.NET.csproj' contains a reference to an insecure NuGet package 'system.data.sqlclient 4.8.3'.  Recommendation: Upgrade System.Data.SqlClient from 4.8.3 to 4.8.5 to fix the vulnerability.","","medium","2024-08-15T02:51:15Z","2024-08-15T02:51:15Z","","",,,"90","317","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/13?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master","NuGet","Direct","WebGoat.NET/WebGoat.NET.csproj @ 099b1c25","system.data.sqlclient 4.8.3"
"14","active","NuGet Elevation of Privilege Vulnerability (CVE-2022-41032)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-g3q9-xf95-8hp5","GHSA-g3q9-xf95-8hp5","'WebGoat.NET.csproj' contains a reference to an insecure NuGet package 'nuget.protocol 5.11.0'.  Recommendation: Upgrade NuGet.Protocol from 5.11.0 to 5.11.3 to fix the vulnerability.","","high","2024-08-15T02:51:15Z","2024-08-15T02:51:15Z","","",,,"30","377","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/14?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master","NuGet","Transitive","WebGoat.NET/WebGoat.NET.csproj @ 099b1c25","microsoft.visualstudio.web.codegeneration.design 6.0.8(root),nuget.protocol 5.11.0"
"15","fixed","SQL query built from stored user-controlled sources (cs/second-order-sql-injection)","code","CodeQL","cs/second-order-sql-injection","cs/second-order-sql-injection","Building a SQL query from stored user-controlled sources is vulnerable to insertion of malicious SQL code by the user.","security,external/cwe/cwe-089","high","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"30","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/15?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"16","fixed","SQL query built from stored user-controlled sources (cs/second-order-sql-injection)","code","CodeQL","cs/second-order-sql-injection","cs/second-order-sql-injection","Building a SQL query from stored user-controlled sources is vulnerable to insertion of malicious SQL code by the user.","security,external/cwe/cwe-089","high","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"30","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/16?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"17","active","SQL query built from user-controlled sources (cs/sql-injection)","code","CodeQL","cs/sql-injection","cs/sql-injection","Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.","security,external/cwe/cwe-089","high","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,,"30","377","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/17?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"WebGoat.NET/Data/OrderRepository.cs:49 @ 099b1c25,WebGoat.NET/Data/OrderRepository.cs:49 @ d7acc5c9",""
"18","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/18?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"19","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/19?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"20","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/20?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"21","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/21?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"22","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/22?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"23","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/23?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"",""
"24","active","URL redirection from remote source (cs/web/unvalidated-url-redirection)","code","CodeQL","cs/web/unvalidated-url-redirection","cs/web/unvalidated-url-redirection","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","security,external/cwe/cwe-601","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,,"90","317","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/24?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"WebGoat.NET/Controllers/CheckoutController.cs:219 @ 099b1c25,WebGoat.NET/Controllers/CheckoutController.cs:219 @ d7acc5c9",""
"25","active","URL redirection from remote source (cs/web/unvalidated-url-redirection)","code","CodeQL","cs/web/unvalidated-url-redirection","cs/web/unvalidated-url-redirection","URL redirection based on unvalidated user input may cause redirection to malicious web sites.","security,external/cwe/cwe-601","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,,"90","317","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/25?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"WebGoat.NET/Controllers/AccountController.cs:50 @ 099b1c25,WebGoat.NET/Controllers/AccountController.cs:50 @ d7acc5c9",""
"26","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,,"90","317","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/26?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"WebGoat.NET/Views/Shared/_LoginPartial.cshtml:16 @ 099b1c25,WebGoat.NET/Views/Shared/_LoginPartial.cshtml:16 @ 099b1c25,WebGoat.NET/Views/Shared/_LoginPartial.cshtml:16 @ d7acc5c9",""
"27","active","Exposure of private information (cs/exposure-of-sensitive-information)","code","CodeQL","cs/exposure-of-sensitive-information","cs/exposure-of-sensitive-information","If private information is written to an external location, it may be accessible by unauthorized persons.","security,external/cwe/cwe-359","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,,"90","317","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/27?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,,"WebGoat.NET/Models/CreditCard.cs:179 @ 099b1c25,WebGoat.NET/Models/CreditCard.cs:179 @ d7acc5c9",""
"29","active","Log Injection (java/log-injection)","code","CodeQL","java/log-injection","java/log-injection","Building log entries from user-controlled data may allow insertion of forged log entries by malicious users.","security,external/cwe/cwe-117","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/29?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/cryptography/SigningAssignment.java:81 @ 14269d6f",""
"30","active","Log Injection (java/log-injection)","code","CodeQL","java/log-injection","java/log-injection","Building log entries from user-controlled data may allow insertion of forged log entries by malicious users.","security,external/cwe/cwe-117","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/30?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/webwolf/FileServer.java:79 @ 14269d6f",""
"31","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/31?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/it/java/org/owasp/webgoat/JWTLessonIntegrationTest.java:75 @ 14269d6f",""
"32","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/32?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/jwt/JWTRefreshEndpoint.java:107 @ 14269d6f",""
"33","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/33?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/jwt/JWTRefreshEndpoint.java:137 @ 14269d6f",""
"34","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/34?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/test/java/org/owasp/webgoat/lessons/jwt/TokenTest.java:57 @ 14269d6f",""
"35","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/35?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/test/java/org/owasp/webgoat/lessons/jwt/TokenTest.java:55 @ 14269d6f",""
"36","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/36?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/jwt/JWTVotesEndpoint.java:155 @ 14269d6f",""
"37","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/37?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/jwt/JWTVotesEndpoint.java:180 @ 14269d6f",""
"38","active","Missing JWT signature check (java/missing-jwt-signature-check)","code","CodeQL","java/missing-jwt-signature-check","java/missing-jwt-signature-check","Failing to check the Json Web Token (JWT) signature may allow an attacker to forge their own tokens.","security,external/cwe/cwe-347","high","2024-09-25T17:11:07Z","2024-09-25T17:11:07Z","","",,,"30","33","https://dev.azure.com/octodemo-felickz/c10f96ad-09ff-4444-a382-4047b7907bca/_git/30d920da-6276-4385-b742-df9597c47d57/alerts/38?branch=refs/pull/25/merge","octodemo-felickz","java-synthetics","WebGoat","refs/pull/25/merge",,,"src/main/java/org/owasp/webgoat/lessons/jwt/JWTVotesEndpoint.java:203 @ 14269d6f",""
